part,description,package,qty_on_hand,source,notes
STM32G431CBT6,STM32G4 Cortex-M4F 170 MHz 128 KB flash,LQFP-48,0,user (evelta link) — qty not stated,Need 3 + 1 spare
SN65HVD230DR,CAN transceiver 3.3 V 1 Mbps,SOIC-8,4,Robu invoice 3680169 line 1,Classic CAN only; no CAN-FD data-phase >1 Mbps
CD43-3R3,3.3 µH 1 A shielded power inductor,CD43,4,Robu invoice line 2,Sized for ~1.4 MHz 24->5 V buck at <300 mA
AMS1117-3.3,1 A LDO 3.3 V (Vin max 15 V),SOT-223,5,Robu invoice line 3,NOT USED in spin 1 (buck goes direct to 3.3 V); keep as spares
INA240A1DR,Current-sense amp gain 20 V/V -4..80 V CM PWM rejection,SOIC-8,8,Robu invoice line 4,2 per board (2-shunt inline) = 6 used
X49SM8MSD2SC,8 MHz crystal 20 pF ±20 ppm,HC-49S SMD,6,Robu invoice line 5,HSE for MCU
HC49U-8MHz,8 MHz crystal THT,HC-49/U,2,Robu invoice line 6,spare / breadboard use
R-4k7-1206,4.7 kΩ 1/4 W,1206,16,Robu invoice line 7,I2C pull-ups
R-10k-1206,10 kΩ 1/4 W,1206,30,Robu invoice line 8,pull-ups/downs NTC bias VBUS divider
R-0R-1206,0 Ω jumper 3.5 A,1206,44,Robu invoice line 9,node-ID straps termination select encoder mode select
R-120R-1206,120 Ω 5 %,1206,100,Robu invoice line 10,CAN termination; fallback gate resistor
C-470u-50V,470 µF 50 V SMD electrolytic,Ø10 SMD,6,Robu invoice line 11,DC-link bulk
C-10u-25V-1206,10 µF 25 V X7R (CL31B106KAHNNNE),1206,14,Robu invoice line 12,buck in/out LDO out VDDA
C-30p-1206,30 pF C0G,1206,12,Robu invoice line 13,crystal load caps
C-100n-1206,100 nF 250 V X7R,1206,50,Robu invoice line 14,decoupling
C-1u-50V-1206,1 µF 50 V X7R,1206,22,Robu invoice line 15,VDDA bootstrap gate-driver VCC LDO
LED-RED-1206,Red LED 20 mA 2.4 V,1206,9,Robu invoice line 16,status/power
AO3481,P-ch MOSFET 30 V 4.2 A,SOT-23,2,Robu invoice line 17,NOT USED (reverse-polarity FET dropped; JST-VH is keyed)
R-2k2-1206,2.2 kΩ 5 %,1206,100,Robu invoice line 18,LED series; VBUS divider bottom
HDR-1x40-F-SMT,2.54 mm 1x40 female SMT header,SMT,4,Robu line 19 (1) + order sheet line 1 (3),SWD/UART headers (cut to length)
JST-XH-3P-RA,3-pin JST-XH male right-angle 2.54 mm,THT,10,order sheet line 2,motor phase connector (3 A/pin rating!)
JST-XH-3P-HSG,3-pin JST-XH housing,—,5,order sheet line 8,motor lead
JST-XH-3P-CABLE,3-pin JST-XH pre-wired 300 mm,—,1,order sheet line 3,
JST-VH-2P-RA,2-pin JST-VH male right-angle 3.96 mm 10 A,THT,10,order sheet line 5,DC power in
JST-VH-2P-HSG,2-pin JST-VH housing,—,5,order sheet line 12,
JST-VH-2P-CABLE,2-pin JST-VH pre-wired 30 cm,—,1,order sheet line 4,
JST-VH-CRIMP,JST-VH crimp 20-24 AWG,—,10,order sheet line 11,
JST-XH-CRIMP,JST-XH crimp 22-28 AWG,—,10,order sheet line 7,
JST-XH-5P-RA,5-pin JST-XH male right-angle,THT,5,order sheet line 13,encoder connector (VCC GND + 3 signals)
JST-XH-5P-HSG,5-pin JST-XH housing,—,5,order sheet line 14,
JST-XH-5P-CABLE,5-pin JST-XH double-ended 30 cm,—,1,order sheet line 9,
NTC-MF52E103,10 kΩ NTC 1 % B≈3950,radial 1 mm,5,order sheet line 6,motor winding temperature
CU-CLAD-1S-76x100,Single-sided FR4 copper clad 7.6x10 cm,—,4,order sheet line 10,NOT usable for this board (2-layer from Lion Circuits instead)
AO3400A,N-ch MOSFET 30 V 5.8 A 28 mΩ@10 V,SOT-23,0,user list item 1 — qty not stated,16 V-build option only. Spin 1 uses AOD4184 (40 V TO-252) for 24 V
ERJ8CWFR030V,30 mΩ 1 W 1 % current-sense,1206,0,user list item 2 — qty not stated,Need 12 (2 parallel x 2 phases x 3)
AOD4184,N-ch MOSFET 40 V 50 A 8 mΩ@10 V,TO-252,0,to buy,Spin-1 bridge FET for 24 V bus. Need 18 + spares (24)
