id,connector,from,to,wires,length,notes
W1,J6 JST-VH 2P 3.96mm,Carrier J6,SimpleFOC Mini screw terminal,1 VBUS -> VM · 2 GND -> GND,~50 mm,carries the full motor current — 20 AWG or thicker
W2,J2 JST-XH 3P 2.50mm,Carrier J2,Motor phase leads,1 A · 2 B · 3 C,motor lead,phase order sets spin direction; swap any two to reverse
W3,J3 JST-XH 5P 2.50mm,Carrier J3,AS5600 board on the motor + NTC,1 3V3 · 2 GND · 3 SCL · 4 SDA · 5 NTC,150-300 mm,NTC sits between pin 5 and GND at the motor end (glue it into the winding)
W4,J5 1x6 header 2.54mm,Carrier J5,MT6701 / AS5047P on the cycloidal output,1 3V3 · 2 GND · 3 CS · 4 SCK · 5 MISO · 6 MOSI,inside the actuator,gives joint-absolute angle at power-on; keep it away from the phase leads
W5,J1 JST-VH 2P 3.96mm,12 V PSU or previous joint J13,Carrier J1,1 VBUS · 2 GND,harness,the first joint's board carries the whole 5 A
W6,J13 JST-VH 2P 3.96mm,Carrier J13,Next joint J1,1 VBUS · 2 GND,harness,daisy-chain; leave open on the last joint
W7,J9 JST-XH 3P 2.50mm,USB-CAN adapter or previous joint J10,Carrier J9,1 CANH · 2 CANL · 3 GND,harness,twist CANH/CANL; run alongside the 12 V pair
W8,J10 JST-XH 3P 2.50mm,Carrier J10,Next joint J9,1 CANH · 2 CANL · 3 GND,harness,leave open on the last joint (fit R14/R15 there instead)
W9,J11 1x4 header 2.54mm,ST-Link / SWD probe,Carrier J11,1 3V3 · 2 SWDIO · 3 SWCLK · 4 GND,bench only,
W10,J12 1x3 header 2.54mm,USB-UART adapter,Carrier J12,1 TX -> adapter RX · 2 RX -> adapter TX · 3 GND,bench only,115200 8N1
W11,J4 1x6 header 2.54mm,Carrier J4,optional motor-side SPI encoder,1 3V3 · 2 GND · 3 CS · 4 SCK · 5 MISO · 6 MOSI,optional,upgrade path when the AS5600 runs out of speed
